scientificName,x_coord,y_coord,presence,elevation,slope,aspect,hcas
Amytornis purnelli,185205.08593763283,-2559074.686989585,1,600.036,64.20504,62.00669,0.024844803
Amytornis purnelli,196805.20977461382,-2562976.687329164,1,560.7229,76.85545,160.29869,0.051213052
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,-86315.38425505142,-2448012.7740640873,1,556.859,34.444252,172.25226,0.9186421
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,52518.46708302568,-2543192.5879561696,1,697.2005,87.866165,101.64541,0.72271115
Amytornis purnelli,-42841.72274253931,-2618899.929860716,1,633.71277,82.68744,277.29944,0.8036559
Amytornis purnelli,75087.80092943367,-2549396.4886939167,1,697.1233,85.455154,60.68418,0.7553093
Amytornis purnelli,234689.79542613236,-2209374.914362373,1,406.93875,19.44664,155.89131,0.93951386
Amytornis purnelli,168724.1754793906,-2553991.644191591,1,752.5783,75.9286,301.4368,0.83347183
